139.84.235.99:443#ZA [465.59ms 1.88Mbps]
103.224.84.70:443#TH [912.57ms 0.16Mbps]
103.197.185.178:443#VN [926.83ms 0.5Mbps]
103.186.64.182:443#VN [938.93ms 0.73Mbps]
103.15.91.174:443#VN [949.07ms 0.0Mbps]
102.130.48.155:2053#NG [990.73ms 0.31Mbps]
101.108.49.121:443#TH [996.76ms 0.21Mbps]
171.83.48.117:8443#CN [1065.48ms 1.68Mbps]
89.36.162.162:8443#AE [1191.26ms 0.18Mbps]
38.180.108.148:443#HU [1244.69ms 0.38Mbps]
188.240.213.98:8443#KG [1250.2ms 0.26Mbps]
5.181.77.132:443#HU [1252.24ms 3.37Mbps]
151.243.181.66:2053#IS [1252.64ms 1.33Mbps]
141.227.186.38:2053#BE [1259.61ms 0.13Mbps]
35.241.172.224:443#BE [1264.74ms 0.08Mbps]
92.118.124.18:443#IL [1268.25ms 0.14Mbps]
43.229.254.71:443#ID [1269.44ms 2.07Mbps]
91.231.182.162:8443#UA [1273.13ms 0.13Mbps]
64.176.167.56:8443#IL [1276.32ms 0.6Mbps]
149.104.106.219:443#BH [1278.24ms 0.09Mbps]
64.176.170.68:8443#IL [1280.63ms 2.25Mbps]
37.221.210.113:443#HU [1281.05ms 0.23Mbps]
194.32.107.150:443#NO [1285.36ms 0.12Mbps]
37.221.210.113:8443#HU [1287.38ms 0.12Mbps]
95.130.84.36:8443#BY [1287.91ms 0.16Mbps]
89.147.111.199:443#IS [1288.28ms 0.24Mbps]
81.29.149.219:8443#NO [1288.74ms 1.58Mbps]
38.213.228.141:443#MX [1288.91ms 0.05Mbps]
194.5.98.17:443#NO [1291.8ms 2.67Mbps]
67.221.249.24:443#SI [1297.01ms 0.12Mbps]
160.30.50.48:443#VN [1300.16ms 0.13Mbps]
108.128.156.233:443#IE [1302.2ms 0.32Mbps]
94.43.238.112:2083#GE [1302.64ms 2.35Mbps]
194.5.98.105:8443#NO [1310.59ms 0.16Mbps]
216.238.79.83:8443#MX [1314.86ms 0.89Mbps]
195.133.92.20:443#PT [1327.6ms 0.0Mbps]
5.157.30.3:8443#IE [1336.24ms 1.38Mbps]
89.147.109.212:443#IS [1341.8ms 0.1Mbps]
195.133.92.74:443#PT [1345.84ms 0.11Mbps]
91.195.254.34:443#AM [1349.27ms 0.12Mbps]
185.48.251.115:443#RS [1384.8ms 0.03Mbps]
185.216.68.218:8443#MD [1386.37ms 0.34Mbps]
31.58.237.198:2096#AZ [1394.23ms 0.0Mbps]
130.94.58.215:443#SA [1402.5ms 1.7Mbps]
93.185.165.175:8443#MD [1405.5ms 0.11Mbps]
104.64.59.9:443#BR [1411.9ms 0.04Mbps]
217.156.65.62:443#MD [1426.34ms 0.22Mbps]
139.84.244.9:443#ZA [1430.6ms 0.42Mbps]
139.84.236.69:443#ZA [1431.34ms 0.25Mbps]
139.84.242.103:443#ZA [1452.23ms 0.4Mbps]
157.151.4.93:443#BR [1452.6ms 0.76Mbps]
114.23.136.104:443#NZ [1480.65ms 0.49Mbps]
